SRS ID,Reads File,Reads File Size,Reads File MD5
SRS077085,/HHS/Illumina/PHASEII/anterior_nares/SRS077085.tar.bz2,3500376241,f7e11e860df4f028910421302b3cfa83
SRS077540,/HHS/Illumina/PHASEII/anterior_nares/SRS077540.tar.bz2,3328673460,d42f3e7b4f2b9badbbfce276e819c4a6
SRS011263,/HHS/Illumina/anterior_nares/SRS011263.tar.bz2,30630950,30784966e7148842e5b05068efda2d55
SRS046973,/HHS/Illumina/anterior_nares/SRS046973.tar.bz2,54134873,8e27282b91e9c81a369c60ceba15cab9
SRS013740,/HHS/Illumina/PHASEII/anterior_nares/SRS013740.tar.bz2,4903563359,3f1e03473ff054cf3e2aaa127b48eb28
SRS077501,/HHS/Illumina/PHASEII/anterior_nares/SRS077501.tar.bz2,5228358621,e95a62ea628fcf19c0cc9f72746e6ea4
SRS024567,/HHS/Illumina/anterior_nares/SRS024567.tar.bz2,25654232,9eccc489c9f8f98170365ba3ba830d47
SRS017451,/HHS/Illumina/anterior_nares/SRS017451.tar.bz2,78565926,9fa59ed275cf19d36568bc19dfc659bb
SRS015640,/HHS/Illumina/anterior_nares/SRS015640.tar.bz2,18415433,595baf36d8b3dcdd21149b3086ccbbee
SRS013876,/HHS/Illumina/anterior_nares/SRS013876.tar.bz2,177409068,153c8fe0950c40c086bd58ab59e72329
SRS021483,/HHS/Illumina/anterior_nares/SRS021483.tar.bz2,40815560,73e6f0cf582ac3d0bfe52fca1fe48201
SRS054061,/HHS/Illumina/anterior_nares/SRS054061.tar.bz2,138711242,e0ff183c71025268abc1ef99bee10ac9
SRS016033,/HHS/Illumina/anterior_nares/SRS016033.tar.bz2,25555143,fd9a7d1556834b1c19327489b38b21e1
SRS147950,/HHS/Illumina/PHASEII/anterior_nares/SRS147950.tar.bz2,11863995374,f5fb3ec676ca2b89c86897951f93591a
SRS015996,/HHS/Illumina/anterior_nares/SRS015996.tar.bz2,365463394,a70c227876fe5955fe1fdab9b136d2c1
SRS017244,/HHS/Illumina/anterior_nares/SRS017244.tar.bz2,24687838,b7c2dec67738f317cb8826c09e1a9e39
SRS016105,/HHS/Illumina/anterior_nares/SRS016105.tar.bz2,72239353,ebca47d19f3afb2e713addd21e15b159
SRS019119,/HHS/Illumina/anterior_nares/SRS019119.tar.bz2,51365975,eb1e7ee0774e424911deeab5293449a6
SRS023970,/HHS/Illumina/anterior_nares/SRS023970.tar.bz2,38143134,1fbadcd34f0df81bc3a004119ca89868
SRS145515,/HHS/Illumina/PHASEII/anterior_nares/SRS145515.tar.bz2,4779447954,cbf7043c6cd89112c7028b93a4111613
SRS148420,/HHS/Illumina/PHASEII/anterior_nares/SRS148420.tar.bz2,2971239616,d1695efd0a4c04d835a4f8e1f3da78d4
SRS015430,/HHS/Illumina/anterior_nares/SRS015430.tar.bz2,35575892,86dbd47ab7007e6515f4b255cf95e1b8
SRS052778,/HHS/Illumina/PHASEII/anterior_nares/SRS052778.tar.bz2,5997049390,4acf5013aa44e97a4fc8824f9248d2f1
SRS058213,/HHS/Illumina/anterior_nares/SRS058213.tar.bz2,205940081,8aeb6b833632607b666376e655144f4d
SRS063912,/HHS/Illumina/PHASEII/anterior_nares/SRS063912.tar.bz2,7048034236,5da78576678660372cac865e816393d2
SRS016188,/HHS/Illumina/anterior_nares/SRS016188.tar.bz2,35536436,76423400ce6ef6c2db9cfe0f840c3779
SRS024150,/HHS/Illumina/PHASEII/anterior_nares/SRS024150.tar.bz2,4226754751,b5904dde7c46a43a9e4bb52ec8868659
SRS018369,/HHS/Illumina/anterior_nares/SRS018369.tar.bz2,25614289,f210fded21962231509c5dfae9497e28
SRS064097,/HHS/Illumina/PHASEII/anterior_nares/SRS064097.tar.bz2,7670611668,853ba7dde65b816a7a527b0666962663
SRS019087,/HHS/Illumina/anterior_nares/SRS019087.tar.bz2,51585202,fc6b8971e6c38991bb4670fafa7d7d19
SRS019867,/HHS/Illumina/anterior_nares/SRS019867.tar.bz2,60795841,f5d859bcbe9ae88e9196260c8c7846ca
SRS018585,/HHS/Illumina/anterior_nares/SRS018585.tar.bz2,17652230,9d4129d2f5fdd51b9fc899bd84c47b5b
SRS049744,/HHS/Illumina/anterior_nares/SRS049744.tar.bz2,22519445,6d9e2ffc82b08ef37551e902096e4c98
SRS052590,/HHS/Illumina/anterior_nares/SRS052590.tar.bz2,219829246,93173e6051ad9c379b17a49a1b62f1fe
SRS051613,/HHS/Illumina/anterior_nares/SRS051613.tar.bz2,63601603,bbb25b41df1a88f748789d94eebc2f3a
SRS065142,/HHS/Illumina/anterior_nares/SRS065142.tar.bz2,14140647,3b05d6fcb205106fbd03f314e39f6d63
SRS018784,/HHS/Illumina/anterior_nares/SRS018784.tar.bz2,35267700,e061c986c11bfc30735a61a2c23d3183
SRS017697,/HHS/Illumina/anterior_nares/SRS017697.tar.bz2,48153493,5ba8b1ef44f587caa3763c76afa73797
SRS019386,/HHS/Illumina/anterior_nares/SRS019386.tar.bz2,42299969,29502fb506bce65e2b551291c41ae09c
SRS044474,/HHS/Illumina/anterior_nares/SRS044474.tar.bz2,241202975,0b60b8702094797f7448a15eb10deffa
SRS050484,/HHS/Illumina/anterior_nares/SRS050484.tar.bz2,467527955,4bb769aab6b4e008ae621fa8532210c4
SRS011132,/HHS/Illumina/anterior_nares/SRS011132.tar.bz2,30874163,b6602114a83d101d97856f6212d42789
SRS018463,/HHS/Illumina/anterior_nares/SRS018463.tar.bz2,35647099,150a3559ceaf98dd8cb99e838c7e22c6
SRS058456,/HHS/Illumina/PHASEII/anterior_nares/SRS058456.tar.bz2,3785969228,d46909388306d538512a97e3dd13f37d
SRS042983,/HHS/Illumina/PHASEII/anterior_nares/SRS042983.tar.bz2,6134500942,5d8f127c57c90d59a371347b7f2fd176
SRS074982,/HHS/Illumina/PHASEII/anterior_nares/SRS074982.tar.bz2,5127331305,e0d77e0cf308637df36819004fd8b4ac
SRS049191,/HHS/Illumina/PHASEII/anterior_nares/SRS049191.tar.bz2,6604700662,bb75b446ccb30095ff19c72aff165ed8
SRS147134,/HHS/Illumina/PHASEII/anterior_nares/SRS147134.tar.bz2,6259919540,b008bfbc7f6faed67446beedc67b021b
SRS014682,/HHS/Illumina/anterior_nares/SRS014682.tar.bz2,382236711,c5a22d2d16cd5d536eaa2fa340d31b53
SRS062713,/HHS/Illumina/anterior_nares/SRS062713.tar.bz2,105015419,b20ab15ba8a2cd911eaa858e1d460d9e
SRS143228,/HHS/Illumina/PHASEII/anterior_nares/SRS143228.tar.bz2,9352805065,00e02067db1dcbdae2e342876ade3b2f
SRS056712,/HHS/Illumina/PHASEII/anterior_nares/SRS056712.tar.bz2,5968707994,214231d6fa37651d0ecd4313d0a31eb2
SRS015937,/HHS/Illumina/anterior_nares/SRS015937.tar.bz2,202878197,da19867b56dd5d2e75bfa3a719e94418
SRS024424,/HHS/Illumina/anterior_nares/SRS024424.tar.bz2,310843441,552427d1ac2cdbe5202a8b5547f5b4f1
SRS022129,/HHS/Illumina/anterior_nares/SRS022129.tar.bz2,79658511,99fdcc156f7e647f943475adeb7aba66
SRS015793,/HHS/Illumina/anterior_nares/SRS015793.tar.bz2,55521914,48b72a38332af46183472346c8cf4586
SRS019597,/HHS/Illumina/anterior_nares/SRS019597.tar.bz2,54586552,60ff893c47fc93a2aff63a4b3d4f0d41
SRS023847,/HHS/Illumina/anterior_nares/SRS023847.tar.bz2,484888188,2f31a00251ad05574b560ead5d7ac951
SRS063035,/HHS/Illumina/anterior_nares/SRS063035.tar.bz2,76757470,27c5b786ec26ed707440a60d2c67d54c
SRS016581,/HHS/Illumina/anterior_nares/SRS016581.tar.bz2,29298648,19a44dbe7057ff17eaaccc0957fbed4c
SRS019215,/HHS/Illumina/anterior_nares/SRS019215.tar.bz2,10626323,55de248bbfa8c1bbf4447d007330f7ff
SRS019039,/HHS/Illumina/anterior_nares/SRS019039.tar.bz2,113283010,b1c5475b63bc694a116e6da88105385c
SRS019019,/HHS/Illumina/anterior_nares/SRS019019.tar.bz2,152954704,702dc4439b7039f211f03984e484f292
SRS063178,/HHS/Illumina/anterior_nares/SRS063178.tar.bz2,13701163,336f0b31b92880224c91ad52c4784adc
SRS012663,/HHS/Illumina/anterior_nares/SRS012663.tar.bz2,105667144,ce5e83e17d85cdcd9325fcb7deed87b1
SRS103959,/HHS/Illumina/PHASEII/anterior_nares/SRS103959.tar.bz2,2678117943,a3890156adf3bfa303a4a2fed3afb3de
SRS045840,/HHS/Illumina/PHASEII/anterior_nares/SRS045840.tar.bz2,6770198883,7b33c3409b112c402de0ee181ea21d8c
SRS012998,/HHS/Illumina/PHASEII/anterior_nares/SRS012998.tar.bz2,7626864402,71f71b104eb3d0337b884a54356947af
SRS042959,/HHS/Illumina/PHASEII/anterior_nares/SRS042959.tar.bz2,5575976391,c6825a884fde3aed61ff2170598b2d9b
SRS075359,/HHS/Illumina/PHASEII/anterior_nares/SRS075359.tar.bz2,6480716717,cd04815b189501703c0f942040a08b69
SRS017044,/HHS/Illumina/anterior_nares/SRS017044.tar.bz2,91197174,28eee9f17d9d34a91eb57c470eb89cda
SRS075096,/HHS/Illumina/PHASEII/anterior_nares/SRS075096.tar.bz2,7547525296,c4272c57e650e40636d05062a5ac30eb
SRS015269,/HHS/Illumina/anterior_nares/SRS015269.tar.bz2,40433896,7a56000f9a9306745066f5a2e16f4c3c
SRS016292,/HHS/Illumina/anterior_nares/SRS016292.tar.bz2,85435039,5d9905f6c8516e0862078759db2e2d3f
SRS016513,/HHS/Illumina/anterior_nares/SRS016513.tar.bz2,25487311,5a9e6a77146ff6e06e8ecadcc8f36310
SRS017517,/HHS/Illumina/PHASEII/anterior_nares/SRS017517.tar.bz2,4531151596,b973365a26353bb9e201b27a0b454a1f
SRS019986,/HHS/Illumina/anterior_nares/SRS019986.tar.bz2,220157879,701ecd9a9a85ca02fdc0041c49aadfce
SRS056906,/HHS/Illumina/anterior_nares/SRS056906.tar.bz2,374071756,cfbac7182d439ae2b3208314f0118ce0
SRS074688,/HHS/Illumina/PHASEII/anterior_nares/SRS074688.tar.bz2,2589285888,4b9dfec4da0a1c12a6fadd3aed31be9b
SRS022645,/HHS/Illumina/anterior_nares/SRS022645.tar.bz2,25266970,ce202d8eba5a31a53d2e343c4edb8df7
SRS014901,/HHS/Illumina/anterior_nares/SRS014901.tar.bz2,169551612,7d0b7d4e22778141c9bd149e844efc4e
SRS018671,/HHS/Illumina/anterior_nares/SRS018671.tar.bz2,25173317,7548b06b37038440c5420f7677ff7371
SRS019067,/HHS/Illumina/anterior_nares/SRS019067.tar.bz2,43457527,cddfd913de6863862f77d757b8a5313e
SRS011105,/HHS/Illumina/anterior_nares/SRS011105.tar.bz2,273917947,c64496438a5cd71c2443ceb352b2708e
SRS012291,/HHS/Illumina/anterior_nares/SRS012291.tar.bz2,22919793,12775f5df6e71961f1c544e84f6c7342
SRS016434,/HHS/Illumina/anterior_nares/SRS016434.tar.bz2,43109906,86e0aaf3e6c83efda080f7e517d97d64
SRS020868,/HHS/Illumina/anterior_nares/SRS020868.tar.bz2,64650187,97e0a29281ea9bba1d7d1984f3dae191
SRS053437,/HHS/Illumina/anterior_nares/SRS053437.tar.bz2,127011157,6b8ace391b7797a97fc6b04bb949fdbf
SRS146731,/HHS/Illumina/PHASEII/anterior_nares/SRS146731.tar.bz2,2932287735,0604972a5a71fb8340347bddf804f84f
SRS047225,/HHS/Illumina/anterior_nares/SRS047225.tar.bz2,228536579,fe256fc2b85f1a1ee219a5aaff16eb09
SRS015752,/HHS/Illumina/anterior_nares/SRS015752.tar.bz2,77260801,7ac2968e0963e8c4b87593f9b72faf89
SRS013637,/HHS/Illumina/anterior_nares/SRS013637.tar.bz2,39696236,5acc0e71e5031a4a07fd9c5ccc55bd4e
SRS018981,/HHS/Illumina/anterior_nares/SRS018981.tar.bz2,75526388,3f0d8f31f4d91df4c96ebd5b8480d3e2
SRS047844,/HHS/Illumina/anterior_nares/SRS047844.tar.bz2,212825997,4de90f78170bebdca2a4cb674a81316a
SRS047254,/HHS/Illumina/anterior_nares/SRS047254.tar.bz2,116848099,02a86d8b1ac49d68463dbb8527792051
SRS047708,/HHS/Illumina/anterior_nares/SRS047708.tar.bz2,1801044,09ecce97d4864ad442aedd7984b334fe
SRS017156,/HHS/Illumina/anterior_nares/SRS017156.tar.bz2,36748149,26da99039a85dd19c1c77996da7bd0f7
SRS017820,/HHS/Illumina/anterior_nares/SRS017820.tar.bz2,96023193,fed639f4984b65d36120a500dba9dea8
SRS015450,/HHS/Illumina/anterior_nares/SRS015450.tar.bz2,19861830,eefc0dcf2d52ca5251b01860d54d2bb5
SRS100039,/HHS/Illumina/PHASEII/anterior_nares/SRS100039.tar.bz2,6558321751,84e41f0bc2eacf4e6476ad5ef1624a07
SRS099357,/HHS/Illumina/PHASEII/anterior_nares/SRS099357.tar.bz2,6128023175,944bd35cef10b2a9f4e3101b22e83e67
SRS098747,/HHS/Illumina/PHASEII/anterior_nares/SRS098747.tar.bz2,239301692,184287014719fffe7c4a50edac52879d
SRS046035,/HHS/Illumina/PHASEII/anterior_nares/SRS046035.tar.bz2,7285280730,ac399acaffb11aa95649fa304618ed84
SRS149932,/HHS/Illumina/PHASEII/anterior_nares/SRS149932.tar.bz2,2233394664,61c067fcf3af84aa356afaa8935e9b34
SRS043451,/HHS/Illumina/PHASEII/anterior_nares/SRS043451.tar.bz2,5994012527,5b90ef4854758ed5bec43952ce4ea6e4
SRS102820,/HHS/Illumina/PHASEII/anterior_nares/SRS102820.tar.bz2,5537588761,1d923fd54146f77d8473977d20f8988d
SRS104269,/HHS/Illumina/PHASEII/anterior_nares/SRS104269.tar.bz2,4581602102,919392274e076df4fa2295f98bc27bcd
SRS147238,/HHS/Illumina/PHASEII/anterior_nares/SRS147238.tar.bz2,4081111278,b52f3a0d474b43ce8d50cb7be3da8fcf
SRS050225,/HHS/Illumina/PHASEII/anterior_nares/SRS050225.tar.bz2,3834263419,3ac407b18b3c3baa903d54cf91e135b6
SRS056210,/HHS/Illumina/anterior_nares/SRS056210.tar.bz2,19021776,9b2f74b8067e6f20551e6d3b48124c42
SRS101451,/HHS/Illumina/PHASEII/anterior_nares/SRS101451.tar.bz2,4907246116,c2c4efe59d92748d3aca1ed21b2c51a3
SRS077322,/HHS/Illumina/PHASEII/anterior_nares/SRS077322.tar.bz2,15573250285,2212e6f6f6ead8244362f036f90f96f1
SRS078260,/HHS/Illumina/PHASEII/anterior_nares/SRS078260.tar.bz2,4912853361,5ac7525db4a74bb2a0edc7910a062fb6
SRS104822,/HHS/Illumina/PHASEII/anterior_nares/SRS104822.tar.bz2,4943757648,b4ffb6b7d44c5bde8e9d38cf9da09e75
SRS140663,/HHS/Illumina/PHASEII/anterior_nares/SRS140663.tar.bz2,451196151,07c1121180b52de709c92520c69186d7
SRS013269,/HHS/Illumina/anterior_nares/SRS013269.tar.bz2,37318665,ceaee617a0af699a228987a734def28e
SRS014464,/HHS/Illumina/anterior_nares/SRS014464.tar.bz2,45166211,abbafcb579f489cfa4d7d81cd91191e4
SRS044626,/HHS/Illumina/anterior_nares/SRS044626.tar.bz2,28378901,5b77077b6ab697cf50417f755bf5f0d4
SRS020386,/HHS/Illumina/anterior_nares/SRS020386.tar.bz2,251423053,82bb9ccde1ce03878f6cafe13bd61389
SRS020232,/HHS/Illumina/anterior_nares/SRS020232.tar.bz2,113838168,7cca5dd5cd1190a80d1e9bed25bdad4d
SRS024301,/HHS/Illumina/anterior_nares/SRS024301.tar.bz2,63294918,862af5894a70b2982568091e90f32013
SRS013956,/HHS/Illumina/anterior_nares/SRS013956.tar.bz2,26099775,0bb9840948fc7515caea295ed6397130
SRS046344,/HHS/Illumina/anterior_nares/SRS046344.tar.bz2,173219153,f8fee0fd797781a49197aff1afc540e2
SRS065179,/HHS/Illumina/anterior_nares/SRS065179.tar.bz2,13923530,27b2c9209bc56cbe219d8c65fa32296c
SRS011397,/HHS/Illumina/anterior_nares/SRS011397.tar.bz2,164504217,e84aab4c2e80dccd0d50d0aa3dda17d3
SRS015051,/HHS/Illumina/anterior_nares/SRS015051.tar.bz2,36481771,b0f905a539a5b333623921da61e1fac6
SRS022006,/HHS/Illumina/anterior_nares/SRS022006.tar.bz2,343943636,ceefbd37f300e4dc492a0bdde2011284
SRS016553,/HHS/Illumina/anterior_nares/SRS016553.tar.bz2,47497480,61cb5f833df4c923d52ce6db278d63d2
SRS018312,/HHS/Illumina/anterior_nares/SRS018312.tar.bz2,19820758,2454e80d7e5216adf8d5b1850c98738c
SRS013155,/HHS/Illumina/anterior_nares/SRS013155.tar.bz2,37885237,1b667436bfdb2d8060149ef126e4f971
SRS051600,/HHS/Illumina/anterior_nares/SRS051600.tar.bz2,23235970,391775b95926a221b8a3cde54a79ae22
SRS050025,/HHS/Illumina/anterior_nares/SRS050025.tar.bz2,96553646,ed37f14c4e38b3b40cb960ef1852e208
SRS078683,/HHS/Illumina/PHASEII/anterior_nares/SRS078683.tar.bz2,5641178449,c7db1026b80e192792bbc701ee0fce7a
SRS016752,/HHS/Illumina/anterior_nares/SRS016752.tar.bz2,85943169,50434f01bc60ee1b9298bcf2dad6c791
SRS019339,/HHS/Illumina/anterior_nares/SRS019339.tar.bz2,24213625,76a621d6503d11d1a133a023dc240ae5
SRS023212,/HHS/Illumina/anterior_nares/SRS023212.tar.bz2,114193279,985021002e87a439edd4e7e7d0c93b5b
SRS024064,/HHS/Illumina/anterior_nares/SRS024064.tar.bz2,57024050,ec385958cc49b687d59bc21788e8e7a7
SRS098618,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS098618.tar.bz2,6161879773,11b1cf97206de2cb3f8f62743f165eca
SRS097867,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS097867.tar.bz2,3482658888,552479ce12d796bbf4e5b1ffafef98a1
SRS019125,/HHS/Illumina/attached_keratinized_gingiva/SRS019125.tar.bz2,4566153548,b3bfd385662f10c9c87187233c801dd7
SRS144116,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS144116.tar.bz2,247109830,6a8ad1d46892a4485bb8c16d1e4b3ba6
SRS144374,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS144374.tar.bz2,9234786651,e58ebc56ac180a84dae8e9184692fb15
SRS148202,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS148202.tar.bz2,3049773501,493a7a8c2ba5a0da21cb99501defeeb0
SRS013946,/HHS/Illumina/attached_keratinized_gingiva/SRS013946.tar.bz2,5104144709,2f3eb882d63b22a16352a6107957178f
SRS075953,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS075953.tar.bz2,7025254248,042bf78303021d777a49f3a41653eeb2
SRS014687,/HHS/Illumina/attached_keratinized_gingiva/SRS014687.tar.bz2,6856738380,e7db62f393c32197d5f4784fb3b19d76
SRS015060,/HHS/Illumina/attached_keratinized_gingiva/SRS015060.tar.bz2,2456628633,7633c105e0bf63fadeec5c02ef9076f3
SRS014473,/HHS/Illumina/attached_keratinized_gingiva/SRS014473.tar.bz2,3873220342,47dcb8d6485d9a7b5a1998b1c2270977
SRS143729,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS143729.tar.bz2,1661310490,970683f28a621371622d23b9038e3b02
